Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GN3,NO,27/06/2011 00:00,25.20000,ug m-3,R
GN3,NO,28/06/2011 00:00,6.70000,ug m-3,R
GN3,NO,29/06/2011 00:00,,ug m-3,R
GN3,NO,30/06/2011 00:00,,ug m-3,R
GN3,NO,01/07/2011 00:00,,ug m-3,R
GN3,NO,02/07/2011 00:00,,ug m-3,R
GN3,NO,03/07/2011 00:00,,ug m-3,R
GN3,NO,04/07/2011 00:00,,ug m-3,R
GN3,NO,05/07/2011 00:00,25.40000,ug m-3,R
GN3,NO,06/07/2011 00:00,18.50000,ug m-3,R
GN3,NO,07/07/2011 00:00,18.60000,ug m-3,R
GN3,NO,08/07/2011 00:00,16.10000,ug m-3,R
GN3,NO,09/07/2011 00:00,15.80000,ug m-3,R
GN3,NO,10/07/2011 00:00,15.90000,ug m-3,R
GN3,NO,11/07/2011 00:00,,ug m-3,R
GN3,NO,12/07/2011 00:00,,ug m-3,R
GN3,NO,13/07/2011 00:00,,ug m-3,R
GN3,NO,14/07/2011 00:00,,ug m-3,R
GN3,NO,15/07/2011 00:00,,ug m-3,R
GN3,NO,16/07/2011 00:00,13.40000,ug m-3,R
GN3,NO,17/07/2011 00:00,11.90000,ug m-3,R
GN3,NO,18/07/2011 00:00,15.50000,ug m-3,R
GN3,NO,19/07/2011 00:00,29.20000,ug m-3,R
GN3,NO,20/07/2011 00:00,22.90000,ug m-3,R
GN3,NO,21/07/2011 00:00,4.90000,ug m-3,R
GN3,NO,22/07/2011 00:00,5.80000,ug m-3,R
GN3,NO,23/07/2011 00:00,14.00000,ug m-3,R
GN3,NO,24/07/2011 00:00,11.50000,ug m-3,R
GN3,NO,25/07/2011 00:00,12.50000,ug m-3,R
GN3,NO,26/07/2011 00:00,7.30000,ug m-3,R
GN3,NO,27/07/2011 00:00,1.00000,ug m-3,R
GN3,NO,28/07/2011 00:00,3.10000,ug m-3,R
GN3,NO,29/07/2011 00:00,3.20000,ug m-3,R
GN3,NO,30/07/2011 00:00,9.90000,ug m-3,R
GN3,NO,31/07/2011 00:00,12.30000,ug m-3,R
GN3,NO,01/08/2011 00:00,19.80000,ug m-3,R
GN3,NO,02/08/2011 00:00,26.40000,ug m-3,R
GN3,NO,03/08/2011 00:00,19.20000,ug m-3,R
GN3,NO,04/08/2011 00:00,17.30000,ug m-3,R
GN3,NO,05/08/2011 00:00,24.30000,ug m-3,R
GN3,NO,06/08/2011 00:00,16.50000,ug m-3,R
GN3,NO,07/08/2011 00:00,14.20000,ug m-3,R
GN3,NO,08/08/2011 00:00,21.30000,ug m-3,R
GN3,NO,09/08/2011 00:00,17.90000,ug m-3,R
GN3,NO,10/08/2011 00:00,20.60000,ug m-3,R
GN3,NO,11/08/2011 00:00,15.50000,ug m-3,R
GN3,NO,12/08/2011 00:00,29.20000,ug m-3,R
GN3,NO,13/08/2011 00:00,25.90000,ug m-3,R
GN3,NO,14/08/2011 00:00,19.40000,ug m-3,R
GN3,NO,15/08/2011 00:00,26.00000,ug m-3,R
GN3,NO,16/08/2011 00:00,19.50000,ug m-3,R
GN3,NO,17/08/2011 00:00,,ug m-3,R
GN3,NO,18/08/2011 00:00,,ug m-3,R
GN3,NO,19/08/2011 00:00,,ug m-3,R
GN3,NO,20/08/2011 00:00,,ug m-3,R
GN3,NO,21/08/2011 00:00,,ug m-3,R
GN3,NO,22/08/2011 00:00,,ug m-3,R
GN3,NO,23/08/2011 00:00,,ug m-3,R
GN3,NO,24/08/2011 00:00,,ug m-3,R
GN3,NO,25/08/2011 00:00,,ug m-3,R
GN3,NO,26/08/2011 00:00,54.00000,ug m-3,R
GN3,NO,27/08/2011 00:00,36.40000,ug m-3,R
GN3,NO,28/08/2011 00:00,17.50000,ug m-3,R
GN3,NO,29/08/2011 00:00,21.00000,ug m-3,R
GN3,NO,30/08/2011 00:00,34.30000,ug m-3,R
GN3,NO,31/08/2011 00:00,18.00000,ug m-3,R
GN3,NO,01/09/2011 00:00,22.00000,ug m-3,R
GN3,NO,02/09/2011 00:00,43.90000,ug m-3,R
GN3,NO,03/09/2011 00:00,20.20000,ug m-3,R
GN3,NO,04/09/2011 00:00,14.90000,ug m-3,R
GN3,NO,05/09/2011 00:00,19.30000,ug m-3,R
GN3,NO,06/09/2011 00:00,,ug m-3,R
GN3,NO,07/09/2011 00:00,,ug m-3,R
GN3,NO,08/09/2011 00:00,,ug m-3,R
GN3,NO,09/09/2011 00:00,,ug m-3,R
GN3,NO,10/09/2011 00:00,,ug m-3,R
